Name	OpenLoopStepResponse	
File	C:\MAS247Projects\mas247_olje\OilSeparator\Matlab\OpenLoopStepResponse.csv	
Starttime of export	133442017746680000	lørdag 11. november 2023	19:42:54.668
Endtime of export	133442019430080000	lørdag 11. november 2023	19:45:43.008


Name	LT1percent	Name	LT2percent	Name	PDT1percent	Name	PDT2percent	Name	PT1percent	Name	PT2percent	Name	PT3percent	Name	TT1percent
SymbolComment	 ------ Linking variables to IO cards ------
 ------- Display Input Variables ---------
 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	141	0	0	0	1764	0	0	0	1240	0	118	0	0	0	7244
10	133	10	0	10	1763	10	0	10	1243	10	119	10	0	10	7245
20	131	20	0	20	1760	20	0	20	1244	20	125	20	0	20	7245
30	130	30	0	30	1762	30	0	30	1244	30	123	30	0	30	7247
40	130	40	0	40	1762	40	0	40	1245	40	121	40	0	40	7247
50	133	50	0	50	1759	50	0	50	1245	50	122	50	0	50	7248
60	135	60	0	60	1766	60	0	60	1244	60	118	60	0	60	7248
70	142	70	0	70	1767	70	0	70	1248	70	119	70	0	70	7245
80	142	80	0	80	1763	80	0	80	1249	80	121	80	0	80	7245
90	137	90	0	90	1763	90	0	90	1249	90	121	90	0	90	7245
100	134	100	0	100	1763	100	0	100	1248	100	119	100	0	100	7244
110	134	110	0	110	1766	110	0	110	1245	110	121	110	0	110	7243
120	135	120	0	120	1764	120	0	120	1244	120	118	120	0	120	7245
130	135	130	0	130	1764	130	0	130	1243	130	118	130	0	130	7245
140	135	140	0	140	1764	140	0	140	1243	140	119	140	0	140	7247
150	133	150	0	150	1764	150	0	150	1247	150	119	150	0	150	7247
160	127	160	0	160	1767	160	0	160	1249	160	119	160	0	160	7241
170	129	170	0	170	1767	170	0	170	1245	170	121	170	0	170	7243
180	131	180	0	180	1766	180	0	180	1243	180	121	180	0	180	7245
190	131	190	0	190	1768	190	0	190	1245	190	122	190	0	190	7245
200	131	200	0	200	1767	200	0	200	1243	200	119	200	0	200	7244
210	133	210	0	210	1764	210	0	210	1243	210	114	210	0	210	7241
220	133	220	0	220	1766	220	0	220	1248	220	119	220	0	220	7243
230	133	230	0	230	1768	230	0	230	1247	230	122	230	0	230	7240
240	133	240	0	240	1768	240	0	240	1245	240	119	240	0	240	7241
250	133	250	0	250	1767	250	0	250	1247	250	122	250	0	250	7247
