Name	OpenLoopStepResponseV2	
File	C:\MAS247Projects\mas247_olje\OilSeparator\Matlab\OpenLoopStepResponseV2.csv	
Starttime of export	133442024791180000	lørdag 11. november 2023	19:54:39.118
Endtime of export	133442026405580000	lørdag 11. november 2023	19:57:20.558


Name	LT1percent	Name	LT2percent	Name	PDT1percent	Name	PDT2percent	Name	PT1percent	Name	PT2percent	Name	PT3percent	Name	TT1percent	Name	Motor_ON_OFF
SymbolComment	 ------ Linking variables to IO cards ------
 ------- Display Input Variables ---------
 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	 Motor switch_
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804	IndexOffset	385148
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	135	0	0	0	1764	0	0	0	1241	0	115	0	0	0	7234	0	0
10	135	10	0	10	1768	10	0	10	1241	10	115	10	0	10	7238	10	0
20	133	20	0	20	1767	20	0	20	1241	20	117	20	0	20	7240	20	0
30	129	30	0	30	1767	30	0	30	1245	30	119	30	0	30	7243	30	0
40	133	40	0	40	1772	40	0	40	1244	40	115	40	0	40	7238	40	0
50	140	50	0	50	1775	50	0	50	1241	50	115	50	0	50	7237	50	0
60	142	60	0	60	1770	60	0	60	1247	60	115	60	0	60	7240	60	0
70	138	70	0	70	1767	70	0	70	1245	70	118	70	0	70	7241	70	0
80	134	80	0	80	1767	80	0	80	1243	80	119	80	0	80	7240	80	0
90	134	90	0	90	1766	90	0	90	1243	90	119	90	0	90	7244	90	0
100	137	100	0	100	1766	100	0	100	1241	100	119	100	0	100	7243	100	0
110	134	110	0	110	1768	110	0	110	1241	110	118	110	0	110	7238	110	0
120	129	120	0	120	1774	120	0	120	1244	120	119	120	0	120	7240	120	0
130	134	130	0	130	1774	130	0	130	1244	130	119	130	0	130	7237	130	0
140	134	140	0	140	1771	140	0	140	1244	140	118	140	0	140	7240	140	0
150	133	150	0	150	1767	150	0	150	1243	150	117	150	0	150	7241	150	0
160	134	160	0	160	1766	160	0	160	1240	160	117	160	0	160	7238	160	0
170	127	170	0	170	1767	170	0	170	1239	170	118	170	0	170	7236	170	0
