Name	OpenLoopStepResponseV3	
File	C:\MAS247Projects\mas247_olje\OilSeparator\Matlab\OpenLoopStepResponseV3.csv	
Starttime of export	133442042511460000	lørdag 11. november 2023	20:24:11.146
Endtime of export	133442043931560000	lørdag 11. november 2023	20:26:33.156


Name	LT1mm	Name	LT2mm	Name	PDT1bar	Name	PDT2bar	Name	PT1bar	Name	PT2bar	Name	TT1c	Name	Motor_ON_OFF
SymbolComment	 Actual values	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	 Motor switch_
Data-Type	REAL32	Data-Type	REAL32	Data-Type	REAL32	Data-Type	REAL32	Data-Type	REAL32	Data-Type	REAL32	Data-Type	REAL32	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	4	VariableSize	4	VariableSize	4	VariableSize	4	VariableSize	4	VariableSize	4	VariableSize	4	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488
IndexOffset	482816	IndexOffset	482820	IndexOffset	482828	IndexOffset	482832	IndexOffset	482836	IndexOffset	482840	IndexOffset	482824	IndexOffset	385148
SymbolName	MAIN.LT1mm	SymbolName	MAIN.LT2mm	SymbolName	MAIN.PDT1bar	SymbolName	MAIN.PDT2bar	SymbolName	MAIN.PT1bar	SymbolName	MAIN.PT2bar	SymbolName	MAIN.TT1c	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	37.70661	0	42	0	0.0252460111	0	0.004	0	0.284605861	0	0.07939695	0	16.2587357	0	0
10	37.7331772	10	42	10	0.02522184	10	0.004	10	0.284787118	10	0.07939695	10	16.2953568	10	0
20	37.75443	20	42	20	0.02522184	20	0.004	20	0.285330981	20	0.08048463	20	16.3228226	20	0
30	37.7278633	30	42	30	0.0252097547	30	0.004	30	0.285693526	30	0.08139104	30	16.2862015	30	0
40	37.7438	40	42	40	0.0252097547	40	0.004	40	0.2860561	40	0.08120975	40	16.24958	40	0
50	37.75443	50	42	50	0.0252580959	50	0.004	50	0.285512239	50	0.0799407959	50	16.23127	50	0
60	37.7331772	60	42	60	0.0252943523	60	0.004	60	0.284787118	60	0.07939695	60	16.24958	60	0
70	37.7438	70	42	70	0.0252460111	70	0.004	70	0.2842433	70	0.08012207	70	16.2587357	70	0
80	37.7172356	80	42	80	0.0252460111	80	0.004	80	0.2842433	80	0.08120975	80	16.2862015	80	0
90	37.68536	90	42	90	0.0252460111	90	0.004	90	0.284062	90	0.0806659162	90	16.2862015	90	0
100	37.6959839	100	42	100	0.02522184	100	0.004	100	0.28388074	100	0.07975951	100	16.2862015	100	0
110	37.6906738	110	42	110	0.0252580959	110	0.004	110	0.284605861	110	0.08012207	110	16.2587357	110	0
120	37.68536	120	42	120	0.0252580959	120	0.004	120	0.284787118	120	0.08048463	120	16.23127	120	0
130	37.70661	130	42	130	0.0252580959	130	0.004	130	0.285512239	130	0.0806659162	130	16.2587357	130	0
140	37.7278633	140	42	140	0.0252097547	140	0.004	140	0.285693526	140	0.08120975	140	16.2587357	140	0
150	37.7278633	150	42	150	0.02519767	150	0.004	150	0.2849684	150	0.08139104	150	16.26789	150	0
160	37.7172356	160	42	160	0.0252460111	160	0.004	160	0.284062	160	0.08157231	160	16.2953568	160	0
170	37.749115	170	42	170	0.0252460111	170	0.004	170	0.283518165	170	0.08120975	170	16.2953568	170	0
180	37.7703667	180	42	180	0.02527018	180	0.004	180	0.2849684	180	0.08120975	180	16.2862015	180	0
190	37.7650528	190	42	190	0.02527018	190	0.004	190	0.285693526	190	0.08048463	190	16.2862015	190	0
200	37.7331772	200	42	200	0.0252580959	200	0.004	200	0.284787118	200	0.0799407959	200	16.2862015	200	0
210	37.7119255	210	42	210	0.02527018	210	0.004	210	0.2842433	210	0.0799407959	210	16.3136673	210	0
220	37.7278633	220	42	220	0.02527018	220	0.004	220	0.284787118	220	0.08048463	220	16.2862015	220	0
230	37.7331772	230	42	230	0.0252580959	230	0.004	230	0.285330981	230	0.08048463	230	16.24958	230	0
240	37.6906738	240	42	240	0.0252460111	240	0.004	240	0.284787118	240	0.0799407959	240	16.2587357	240	0
250	37.6906738	250	42	250	0.02522184	250	0.004	250	0.284605861	250	0.07975951	250	16.2587357	250	0
260	37.7278633	260	42	260	0.02522184	260	0.004	260	0.284787118	260	0.08012207	260	16.2862015	260	0
270	37.7438	270	42	270	0.0252580959	270	0.004	270	0.2849684	270	0.08139104	270	16.3136673	270	0
280	37.7650528	280	42	280	0.02527018	280	0.004	280	0.2849684	280	0.08139104	280	16.26789	280	0
290	37.7438	290	42	290	0.0253064372	290	0.004	290	0.285512239	290	0.08048463	290	16.2587357	290	0
300	37.7278633	300	42	300	0.0252580959	300	0.004	300	0.285330981	300	0.0799407959	300	16.2862015	300	0
310	37.7172356	310	42	310	0.02527018	310	0.004	310	0.285330981	310	0.08048463	310	16.2953568	310	0
320	37.70661	320	42	320	0.0252943523	320	0.004	320	0.284787118	320	0.08084719	320	16.2862015	320	0
330	37.7331772	330	42	330	0.02527018	330	0.004	330	0.284787118	330	0.0806659162	330	16.2587357	330	0
340	37.7172356	340	42	340	0.0252943523	340	0.004	340	0.284787118	340	0.08048463	340	16.2587357	340	0
350	37.7119255	350	42	350	0.0252097547	350	0.004	350	0.284605861	350	0.08012207	350	16.2587357	350	0
360	37.7119255	360	42	360	0.0252097547	360	0.004	360	0.2849684	360	0.08012207	360	16.2862015	360	0
370	37.7438	370	42	370	0.0252580959	370	0.004	370	0.2849684	370	0.08012207	370	16.3136673	370	0
