Name,Tank1DataThursday,
File,C:\Users\Banan\Documents\Systemmodell Tank IndustriellIT\Tank1InnUtData.csv,
Starttime of export,133446108242230000,Thursday, November 16, 2023,13:20:24.223
Endtime of export,133446110215030000,Thursday, November 16, 2023,13:23:41.503


Name,Level_Valve_1_Percentage,Name,LT1mm,Name,Motor_ON_OFF,Name,Level_Valve_1_Percentage (1)
SymbolComment,,SymbolComment, Actual values,SymbolComment, Motor switch	,SymbolComment,
Data-Type,INT16,Data-Type,REAL32,Data-Type,BIT,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10,SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,4,VariableSize,1,VariableSize,2
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,16448,IndexGroup,61488,IndexGroup,16448
IndexOffset,413096,IndexOffset,412852,IndexOffset,413035,IndexOffset,413096
SymbolName,MAIN.Level_Valve_1_Percentage,SymbolName,MAIN.LT1mm,SymbolName,MAIN.Motor_ON_OFF,SymbolName,MAIN.Level_Valve_1_Percentage
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

0,100,0,37.6906738,0,0,0,100
10,100,10,37.7331772,10,0,10,100
20,100,20,37.7650528,20,0,20,100
30,100,30,37.7331772,30,0,30,100
40,100,40,37.6959839,40,0,40,100
50,100,50,37.6959839,50,0,50,100
60,100,60,37.70661,60,0,60,100
70,100,70,37.7278633,70,0,70,100
80,100,80,37.7331772,80,0,80,100
90,100,90,37.7172356,90,0,90,100
100,100,100,37.70661,100,0,100,100
110,100,110,37.68536,110,0,110,100
120,100,120,37.7119255,120,0,120,100
130,100,130,37.7278633,130,0,130,100
140,100,140,37.7119255,140,0,140,100
150,100,150,37.7331772,150,0,150,100
160,100,160,37.7278633,160,0,160,100
170,100,170,37.7119255,170,0,170,100
180,100,180,37.7119255,180,0,180,100
190,100,190,37.70661,190,0,190,100
200,100,200,37.6959839,200,0,200,100
210,100,210,37.70661,210,0,210,100
220,100,220,37.7119255,220,0,220,100
230,100,230,37.7331772,230,0,230,100
240,100,240,37.749115,240,0,240,100
250,100,250,37.7438,250,0,250,100
260,100,260,37.7331772,260,0,260,100
270,100,270,37.6959839,270,0,270,100
280,100,280,37.6906738,280,0,280,100
290,100,290,37.6906738,290,0,290,100
300,100,300,37.6906738,300,0,300,100
310,100,310,37.7119255,310,0,310,100
320,100,320,37.7331772,320,0,320,100
330,100,330,37.7172356,330,0,330,100
340,100,340,37.7331772,340,0,340,100
350,100,350,37.7331772,350,0,350,100
360,100,360,37.7278633,360,0,360,100
370,100,370,37.7331772,370,0,370,100
380,100,380,37.749115,380,0,380,100
390,100,390,37.7278633,390,0,390,100
400,100,400,37.7172356,400,0,400,100
410,100,410,37.7278633,410,0,410,100
420,100,420,37.7278633,420,0,420,100
430,100,430,37.7119255,430,0,430,100
440,100,440,37.6906738,440,0,440,100
450,100,450,37.6959839,450,0,450,100
460,100,460,37.6906738,460,0,460,100
470,100,470,37.6959839,470,0,470,100
480,100,480,37.6906738,480,0,480,100
490,100,490,37.7119255,490,0,490,100
500,100,500,37.7119255,500,0,500,100
510,100,510,37.7172356,510,0,510,100
520,100,520,37.749115,520,0,520,100
530,100,530,37.7438,530,0,530,100
540,100,540,37.7438,540,0,540,100
550,100,550,37.7172356,550,0,550,100
560,100,560,37.7278633,560,0,560,100
