Name	YT Scope Project	
File	C:\MAS247Projects\mas247_olje\OilSeparator\Matlab\Tank2_LV2percentTesting.csv	
Starttime of export	133441909503100000	lørdag 11. november 2023	16:42:30.310
Endtime of export	133441912181500000	lørdag 11. november 2023	16:46:58.150


Name	PDT1percent (1)	Name	LT2percent (1)	Name	Level_Valve_2_Percentage
SymbolComment		SymbolComment		SymbolComment	
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	412824	IndexOffset	412820	IndexOffset	413036
SymbolName	MAIN.PDT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.Level_Valve_2_Percentage
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

0	1989	0	0	0	100
10	1988	10	0	10	100
20	1989	20	0	20	100
30	1988	30	0	30	100
40	1984	40	0	40	100
50	1984	50	0	50	100
60	1984	60	0	60	100
70	1986	70	0	70	100
80	1984	80	0	80	100
90	1980	90	0	90	100
100	1980	100	0	100	100
110	1982	110	0	110	100
120	1984	120	0	120	100
130	1985	130	0	130	100
140	1986	140	0	140	100
150	1988	150	0	150	100
160	1988	160	0	160	100
170	1988	170	0	170	100
180	1989	180	0	180	100
190	1990	190	0	190	100
200	1990	200	0	200	100
210	1985	210	0	210	100
220	1984	220	0	220	100
230	1984	230	0	230	100
240	1988	240	0	240	100
250	1988	250	0	250	100
260	1982	260	0	260	100
270	1984	270	0	270	100
280	1985	280	0	280	100
290	1986	290	0	290	100
300	1988	300	0	300	100
310	1986	310	0	310	100
320	1982	320	0	320	100
330	1989	330	0	330	100
340	1988	340	0	340	100
350	1980	350	0	350	100
360	1982	360	0	360	100
370	1985	370	0	370	100
380	1986	380	0	380	100
390	1984	390	0	390	100
400	1984	400	0	400	100
410	1985	410	0	410	100
420	1986	420	0	420	100
430	1988	430	0	430	100
440	1986	440	0	440	100
450	1989	450	0	450	100
460	1988	460	0	460	100
470	1984	470	0	470	100
480	1986	480	0	480	100
490	1989	490	0	490	100
500	1988	500	0	500	100
510	1989	510	0	510	100
520	1986	520	0	520	100
530	1982	530	0	530	100
540	1980	540	0	540	100
550	1982	550	0	550	100
560	1984	560	0	560	100
570	1984	570	0	570	100
580	1988	580	0	580	100
590	1990	590	0	590	100
600	1989	600	0	600	100
610	1984	610	0	610	100
620	1986	620	0	620	100
630	1985	630	0	630	100
640	1984	640	0	640	100
650	1989	650	0	650	100
660	1984	660	0	660	100
670	1982	670	0	670	100
680	1984	680	0	680	100
690	1982	690	0	690	100
700	1985	700	0	700	100
710	1989	710	0	710	100
720	1989	720	0	720	100
730	1984	730	0	730	100
740	1985	740	0	740	100
750	1986	750	0	750	100
760	1985	760	0	760	100
770	1985	770	0	770	100
780	1984	780	0	780	100
790	1986	790	0	790	100
800	1989	800	0	800	100
810	1988	810	0	810	100
820	1989	820	0	820	100
830	1986	830	0	830	100
840	1985	840	0	840	100
850	1989	850	0	850	100
860	1986	860	0	860	100
870	1984	870	0	870	100
880	1986	880	0	880	100
890	1988	890	0	890	100
900	1984	900	0	900	100
910	1982	910	0	910	100
920	1986	920	0	920	100
930	1988	930	0	930	100
940	1986	940	0	940	100
950	1989	950	0	950	100
960	1986	960	0	960	100
970	1988	970	0	970	100
980	1993	980	0	980	100
990	1990	990	0	990	100
1000	1990	1000	0	1000	100
1010	1988	1010	0	1010	100
1020	1984	1020	0	1020	100
1030	1985	1030	0	1030	100
1040	1989	1040	0	1040	100
1050	1990	1050	0	1050	100
1060	1988	1060	0	1060	100
1070	1985	1070	0	1070	100
1080	1986	1080	0	1080	100
1090	1989	1090	0	1090	100
1100	1986	1100	0	1100	100
1110	1988	1110	0	1110	100
1120	1989	1120	0	1120	100
1130	1986	1130	0	1130	100
1140	1985	1140	0	1140	100
1150	1988	1150	0	1150	100
1160	1985	1160	0	1160	100
1170	1988	1170	0	1170	100
1180	1989	1180	0	1180	100
1190	1985	1190	0	1190	100
1200	1986	1200	0	1200	100
1210	1989	1210	0	1210	100
1220	1986	1220	0	1220	100
1230	1981	1230	0	1230	100
1240	1980	1240	0	1240	100
1250	1984	1250	0	1250	100
1260	1985	1260	0	1260	100
1270	1982	1270	0	1270	100
1280	1986	1280	0	1280	100
1290	1989	1290	0	1290	100
1300	1985	1300	0	1300	100
1310	1992	1310	0	1310	100
1320	1989	1320	0	1320	100
1330	1985	1330	0	1330	100
1340	1989	1340	0	1340	100
1350	1986	1350	0	1350	100
1360	1985	1360	0	1360	100
1370	1986	1370	0	1370	100
1380	1985	1380	0	1380	100
1390	1988	1390	0	1390	100
1400	1989	1400	0	1400	100
1410	1988	1410	0	1410	100
1420	1989	1420	0	1420	100
1430	1990	1430	0	1430	100
1440	1990	1440	0	1440	100
1450	1985	1450	0	1450	100
1460	1986	1460	0	1460	100
1470	1990	1470	0	1470	100
1480	1988	1480	0	1480	100
1490	1989	1490	0	1490	100
1500	1990	1500	0	1500	100
1510	1989	1510	0	1510	100
1520	1989	1520	0	1520	100
1530	1988	1530	0	1530	100
1540	1989	1540	0	1540	100
1550	1988	1550	0	1550	100
1560	1985	1560	0	1560	100
1570	1984	1570	0	1570	100
1580	1985	1580	0	1580	100
