Name	ZieglerNicholsThursday	
File	C:\MAS247Projects\mas247_olje\OilSeparator\Matlab\ZieglerNicholsThursday.csv	
Starttime of export	133446102693150000	torsdag 16. november 2023	13:11:09.315
Endtime of export	133446104813550000	torsdag 16. november 2023	13:14:41.355


Name	Level_Valve_1_Percentage	Name	Level_Valve_2_Percentage	Name	LT2mm	Name	LT2percent
SymbolComment		SymbolComment		SymbolComment		SymbolComment	 Sadly didn't have time to remap,
Data-Type	INT16	Data-Type	INT16	Data-Type	REAL32	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	4	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	413096	IndexOffset	413098	IndexOffset	412856	IndexOffset	412838
SymbolName	MAIN.Level_Valve_1_Percentage	SymbolName	MAIN.Level_Valve_2_Percentage	SymbolName	MAIN.LT2mm	SymbolName	MAIN.LT2percent
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	100	0	100	0	43.4	0	0
10	100	10	100	10	43.4	10	0
20	100	20	100	20	43.4	20	0
30	100	30	100	30	43.4	30	0
40	100	40	100	40	43.4	40	0
50	100	50	100	50	43.4	50	0
60	100	60	100	60	43.4	60	0
70	100	70	100	70	43.4	70	0
80	100	80	100	80	43.4	80	0
90	100	90	100	90	43.4	90	0
100	100	100	100	100	43.4	100	0
110	100	110	100	110	43.4	110	0
120	100	120	100	120	43.4	120	0
130	100	130	100	130	43.4	130	0
140	100	140	100	140	43.4	140	0
150	100	150	100	150	43.4	150	0
160	100	160	100	160	43.4	160	0
170	100	170	100	170	43.4	170	0
180	100	180	100	180	43.4	180	0
190	100	190	100	190	43.4	190	0
200	100	200	100	200	43.4	200	0
210	100	210	100	210	43.4	210	0
220	100	220	100	220	43.4	220	0
230	100	230	100	230	43.4	230	0
240	100	240	100	240	43.4	240	0
250	100	250	100	250	43.4	250	0
260	100	260	100	260	43.4	260	0
270	100	270	100	270	43.4	270	0
280	100	280	100	280	43.4	280	0
290	100	290	100	290	43.4	290	0
300	100	300	100	300	43.4	300	0
310	100	310	100	310	43.4	310	0
320	100	320	100	320	43.4	320	0
330	100	330	100	330	43.4	330	0
340	100	340	100	340	43.4	340	0
350	100	350	100	350	43.4	350	0
360	100	360	100	360	43.4	360	0
370	100	370	100	370	43.4	370	0
380	100	380	100	380	43.4	380	0
390	100	390	100	390	43.4	390	0
400	100	400	100	400	43.4	400	0
410	100	410	100	410	43.4	410	0
420	100	420	100	420	43.4	420	0
430	100	430	100	430	43.4	430	0
440	100	440	100	440	43.4	440	0
450	100	450	100	450	43.4	450	0
460	100	460	100	460	43.4	460	0
470	100	470	100	470	43.4	470	0
480	100	480	100	480	43.4	480	0
490	100	490	100	490	43.4	490	0
500	100	500	100	500	43.4	500	0
510	100	510	100	510	43.4	510	0
520	100	520	100	520	43.4	520	0
530	100	530	100	530	43.4	530	0
540	100	540	100	540	43.4	540	0
550	100	550	100	550	43.4	550	0
560	100	560	100	560	43.4	560	0
570	100	570	100	570	43.4	570	0
580	100	580	100	580	43.4	580	0
590	100	590	100	590	43.4	590	0
600	100	600	100	600	43.4	600	0
610	100	610	100	610	43.4	610	0
620	100	620	100	620	43.4	620	0
630	100	630	100	630	43.4	630	0
640	100	640	100	640	43.4	640	0
650	100	650	100	650	43.4	650	0
660	100	660	100	660	43.4	660	0
670	100	670	100	670	43.4	670	0
680	100	680	100	680	43.4	680	0
690	100	690	100	690	43.4	690	0
700	100	700	100	700	43.4	700	0
710	100	710	100	710	43.4	710	0
720	100	720	100	720	43.4	720	0
730	100	730	100	730	43.4	730	0
740	100	740	100	740	43.4	740	0
750	100	750	100	750	43.4	750	0
760	100	760	100	760	43.4	760	0
770	100	770	100	770	43.4	770	0
780	100	780	100	780	43.4	780	0
790	100	790	100	790	43.4	790	0
800	100	800	100	800	43.4	800	0
810	100	810	100	810	43.4	810	0
820	100	820	100	820	43.4	820	0
830	100	830	100	830	43.4	830	0
840	100	840	100	840	43.4	840	0
850	100	850	100	850	43.4	850	0
860	100	860	100	860	43.4	860	0
870	100	870	100	870	43.4	870	0
880	100	880	100	880	43.4	880	0
890	100	890	100	890	43.4	890	0
900	100	900	100	900	43.4	900	0
910	100	910	100	910	43.4	910	0
920	100	920	100	920	43.4	920	0
930	100	930	100	930	43.4	930	0
940	100	940	100	940	43.4	940	0
950	100	950	100	950	43.4	950	0
960	100	960	100	960	43.4	960	0
970	100	970	100	970	43.4	970	0
980	100	980	100	980	43.4	980	0
990	100	990	100	990	43.4	990	0
1000	100	1000	100	1000	43.4	1000	0
1010	100	1010	100	1010	43.4	1010	0
1020	100	1020	100	1020	43.4	1020	0
1030	100	1030	100	1030	43.4	1030	0
1040	100	1040	100	1040	43.4	1040	0
1050	100	1050	100	1050	43.4	1050	0
1060	100	1060	100	1060	43.4	1060	0
1070	100	1070	100	1070	43.4	1070	0
1080	100	1080	100	1080	43.4	1080	0
1090	100	1090	100	1090	43.4	1090	0
1100	100	1100	100	1100	43.4	1100	0
1110	100	1110	100	1110	43.4	1110	0
1120	100	1120	100	1120	43.4	1120	0
1130	100	1130	100	1130	43.4	1130	0
1140	100	1140	100	1140	43.4	1140	0
1150	100	1150	100	1150	43.4	1150	0
1160	100	1160	100	1160	43.4	1160	0
1170	100	1170	100	1170	43.4	1170	0
1180	100	1180	100	1180	43.4	1180	0
1190	100	1190	100	1190	43.4	1190	0
1200	100	1200	100	1200	43.4	1200	0
1210	100	1210	100	1210	43.4	1210	0
1220	100	1220	100	1220	43.4	1220	0
1230	100	1230	100	1230	43.4	1230	0
1240	100	1240	100	1240	43.4	1240	0
1250	100	1250	100	1250	43.4	1250	0
1260	100	1260	100	1260	43.4	1260	0
1270	100	1270	100	1270	43.4	1270	0
1280	100	1280	100	1280	43.4	1280	0
1290	100	1290	100	1290	43.4	1290	0
1300	100	1300	100	1300	43.4	1300	0
1310	100	1310	100	1310	43.4	1310	0
1320	100	1320	100	1320	43.4	1320	0
1330	100	1330	100	1330	43.4	1330	0
1340	100	1340	100	1340	43.4	1340	0
1350	100	1350	100	1350	43.4	1350	0
1360	100	1360	100	1360	43.4	1360	0
1370	100	1370	100	1370	43.4	1370	0
1380	100	1380	100	1380	43.4	1380	0
1390	100	1390	100	1390	43.4	1390	0
1400	100	1400	100	1400	43.4	1400	0
1410	100	1410	100	1410	43.4	1410	0
1420	100	1420	100	1420	43.4	1420	0
1430	100	1430	100	1430	43.4	1430	0
1440	100	1440	100	1440	43.4	1440	0
1450	100	1450	100	1450	43.4	1450	0
1460	100	1460	100	1460	43.4	1460	0
1470	100	1470	100	1470	43.4	1470	0
1480	100	1480	100	1480	43.4	1480	0
1490	100	1490	100	1490	43.4	1490	0
1500	100	1500	100	1500	43.4	1500	0
1510	100	1510	100	1510	43.4	1510	0
1520	100	1520	100	1520	43.4	1520	0
1530	100	1530	100	1530	43.4	1530	0
1540	100	1540	100	1540	43.4	1540	0
1550	100	1550	100	1550	43.4	1550	0
1560	100	1560	100	1560	43.4	1560	0
1570	100	1570	100	1570	43.4	1570	0
1580	100	1580	100	1580	43.4	1580	0
1590	100	1590	100	1590	43.4	1590	0
1600	100	1600	100	1600	43.4	1600	0
1610	100	1610	100	1610	43.4	1610	0
1620	100	1620	100	1620	43.4	1620	0
1630	100	1630	100	1630	43.4	1630	0
1640	100	1640	100	1640	43.4	1640	0
1650	100	1650	100	1650	43.4	1650	0
1660	100	1660	100	1660	43.4	1660	0
1670	100	1670	100	1670	43.4	1670	0
1680	100	1680	100	1680	43.4	1680	0
1690	100	1690	100	1690	43.4	1690	0
1700	100	1700	100	1700	43.4	1700	0
1710	100	1710	100	1710	43.4	1710	0
1720	100	1720	100	1720	43.4	1720	0
1730	100	1730	100	1730	43.4	1730	0
1740	100	1740	100	1740	43.4	1740	0
1750	100	1750	100	1750	43.4	1750	0
1760	100	1760	100	1760	43.4	1760	0
1770	100	1770	100	1770	43.4	1770	0
1780	100	1780	100	1780	43.4	1780	0
1790	100	1790	100	1790	43.4	1790	0
1800	100	1800	100	1800	43.4	1800	0
1810	100	1810	100	1810	43.4	1810	0
1820	100	1820	100	1820	43.4	1820	0
1830	100	1830	100	1830	43.4	1830	0
1840	100	1840	100	1840	43.4	1840	0
1850	100	1850	100	1850	43.4	1850	0
1860	100	1860	100	1860	43.4	1860	0
1870	100	1870	100	1870	43.4	1870	0
1880	100	1880	100	1880	43.4	1880	0
1890	100	1890	100	1890	43.4	1890	0
1900	100	1900	100	1900	43.4	1900	0
1910	100	1910	100	1910	43.4	1910	0
1920	100	1920	100	1920	43.4	1920	0
1930	100	1930	100	1930	43.4	1930	0
1940	100	1940	100	1940	43.4	1940	0
1950	100	1950	100	1950	43.4	1950	0
1960	100	1960	100	1960	43.4	1960	0
1970	100	1970	100	1970	43.4	1970	0
1980	100	1980	100	1980	43.4	1980	0
1990	100	1990	100	1990	43.4	1990	0
2000	100	2000	100	2000	43.4	2000	0
2010	100	2010	100	2010	43.4	2010	0
2020	100	2020	100	2020	43.4	2020	0
2030	100	2030	100	2030	43.4	2030	0
2040	100	2040	100	2040	43.4	2040	0
2050	100	2050	100	2050	43.4	2050	0
2060	100	2060	100	2060	43.4	2060	0
2070	100	2070	100	2070	43.4	2070	0
2080	100	2080	100	2080	43.4	2080	0
2090	100	2090	100	2090	43.4	2090	0
2100	100	2100	100	2100	43.4	2100	0
2110	100	2110	100	2110	43.4	2110	0
2120	100	2120	100	2120	43.4	2120	0
2130	100	2130	100	2130	43.4	2130	0
2140	100	2140	100	2140	43.4	2140	0
2150	100	2150	100	2150	43.4	2150	0
2160	100	2160	100	2160	43.4	2160	0
2170	100	2170	100	2170	43.4	2170	0
2180	100	2180	100	2180	43.4	2180	0
2190	100	2190	100	2190	43.4	2190	0
2200	100	2200	100	2200	43.4	2200	0
2210	100	2210	100	2210	43.4	2210	0
2220	100	2220	100	2220	43.4	2220	0
2230	100	2230	100	2230	43.4	2230	0
2240	100	2240	100	2240	43.4	2240	0
2250	100	2250	100	2250	43.4	2250	0
2260	100	2260	100	2260	43.4	2260	0
2270	100	2270	100	2270	43.4	2270	0
2280	100	2280	100	2280	43.4	2280	0
2290	100	2290	100	2290	43.4	2290	0
2300	100	2300	100	2300	43.4	2300	0
2310	100	2310	100	2310	43.4	2310	0
2320	100	2320	100	2320	43.4	2320	0
2330	100	2330	100	2330	43.4	2330	0
2340	100	2340	100	2340	43.4	2340	0
2350	100	2350	100	2350	43.4	2350	0
2360	100	2360	100	2360	43.4	2360	0
2370	100	2370	100	2370	43.4	2370	0
2380	100	2380	100	2380	43.4	2380	0
2390	100	2390	100	2390	43.4	2390	0
2400	100	2400	100	2400	43.4	2400	0
2410	100	2410	100	2410	43.4	2410	0
2420	100	2420	100	2420	43.4	2420	0
2430	100	2430	100	2430	43.4	2430	0
2440	100	2440	100	2440	43.4	2440	0
2450	100	2450	100	2450	43.4	2450	0
2460	100	2460	100	2460	43.4	2460	0
2470	100	2470	100	2470	43.4	2470	0
2480	100	2480	100	2480	43.4	2480	0
2490	100	2490	100	2490	43.4	2490	0
2500	100	2500	100	2500	43.4	2500	0
2510	100	2510	100	2510	43.4	2510	0
2520	100	2520	100	2520	43.4	2520	0
2530	100	2530	100	2530	43.4	2530	0
2540	100	2540	100	2540	43.4	2540	0
2550	100	2550	100	2550	43.4	2550	0
2560	100	2560	100	2560	43.4	2560	0
2570	100	2570	100	2570	43.4	2570	0
2580	100	2580	100	2580	43.4	2580	0
2590	100	2590	100	2590	43.4	2590	0
2600	100	2600	100	2600	43.4	2600	0
2610	100	2610	100	2610	43.4	2610	0
2620	100	2620	100	2620	43.4	2620	0
2630	100	2630	100	2630	43.4	2630	0
2640	100	2640	100	2640	43.4	2640	0
2650	100	2650	100	2650	43.4	2650	0
2660	100	2660	100	2660	43.4	2660	0
2670	100	2670	100	2670	43.4	2670	0
2680	100	2680	100	2680	43.4	2680	0
2690	100	2690	100	2690	43.4	2690	0
2700	100	2700	100	2700	43.4	2700	0
2710	100	2710	100	2710	43.4	2710	0
2720	100	2720	100	2720	43.4	2720	0
2730	100	2730	100	2730	43.4	2730	0
2740	100	2740	100	2740	43.4	2740	0
2750	100	2750	100	2750	43.4	2750	0
2760	100	2760	100	2760	43.4	2760	0
2770	100	2770	100	2770	43.4	2770	0
2780	100	2780	100	2780	43.4	2780	0
2790	100	2790	100	2790	43.4	2790	0
2800	100	2800	100	2800	43.4	2800	0
2810	100	2810	100	2810	43.4	2810	0
2820	100	2820	100	2820	43.4	2820	0
2830	100	2830	100	2830	43.4	2830	0
2840	100	2840	100	2840	43.4	2840	0
2850	100	2850	100	2850	43.4	2850	0
2860	100	2860	100	2860	43.4	2860	0
2870	100	2870	100	2870	43.4	2870	0
2880	100	2880	100	2880	43.4	2880	0
2890	100	2890	100	2890	43.4	2890	0
2900	100	2900	100	2900	43.4	2900	0
2910	100	2910	100	2910	43.4	2910	0
2920	100	2920	100	2920	43.4	2920	0
2930	100	2930	100	2930	43.4	2930	0
2940	100	2940	100	2940	43.4	2940	0
2950	100	2950	100	2950	43.4	2950	0
2960	100	2960	100	2960	43.4	2960	0
2970	100	2970	100	2970	43.4	2970	0
2980	100	2980	100	2980	43.4	2980	0
2990	100	2990	100	2990	43.4	2990	0
3000	100	3000	100	3000	43.4	3000	0
3010	100	3010	100	3010	43.4	3010	0
3020	100	3020	100	3020	43.4	3020	0
3030	100	3030	100	3030	43.4	3030	0
3040	100	3040	100	3040	43.4	3040	0
3050	100	3050	100	3050	43.4	3050	0
3060	100	3060	100	3060	43.4	3060	0
3070	100	3070	100	3070	43.4	3070	0
3080	100	3080	100	3080	43.4	3080	0
3090	100	3090	100	3090	43.4	3090	0
3100	100	3100	100	3100	43.4	3100	0
3110	100	3110	100	3110	43.4	3110	0
3120	100	3120	100	3120	43.4	3120	0
3130	100	3130	100	3130	43.4	3130	0
3140	100	3140	100	3140	43.4	3140	0
3150	100	3150	100	3150	43.4	3150	0
3160	100	3160	100	3160	43.4	3160	0
3170	100	3170	100	3170	43.4	3170	0
3180	100	3180	100	3180	43.4	3180	0
