Name,YT Scope Project,
File,C:\Users\Banan\mas247\mas247_olje\StepResponsePlot.csv,
Starttime of export,133437580216110000,Monday, November 6, 2023,16:27:01.611
Endtime of export,133437583732510000,Monday, November 6, 2023,16:32:53.251


Name,Level_Transmitter_2,Name,Pressure_Differencial_Transmitter_1
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472
IndexOffset,385156,IndexOffset,385160
SymbolName,MAIN.Level_Transmitter_2,SymbolName,MAIN.Pressure_Differencial_Transmitter_1
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

0,0,0,2722
10,0,10,2726
20,0,20,2722
30,0,30,2718
40,0,40,2720
50,0,50,2724
60,0,60,2725
70,0,70,2725
80,0,80,2724
90,0,90,2722
100,0,100,2717
110,0,110,2715
120,0,120,2717
130,0,130,2718
140,0,140,2724
150,0,150,2721
160,0,160,2717
170,0,170,2721
180,0,180,2721
190,0,190,2722
200,0,200,2721
210,0,210,2718
220,0,220,2724
230,0,230,2720
240,0,240,2718
250,0,250,2722
260,0,260,2720
270,0,270,2725
280,0,280,2729
290,0,290,2724
300,0,300,2721
310,0,310,2722
320,0,320,2722
330,0,330,2721
340,0,340,2724
350,0,350,2724
360,0,360,2721
370,0,370,2721
380,0,380,2718
390,0,390,2720
400,0,400,2717
410,0,410,2713
420,0,420,2718
430,0,430,2715
440,0,440,2715
450,0,450,2722
460,0,460,2722
470,0,470,2721
480,0,480,2718
490,0,490,2718
500,0,500,2720
510,0,510,2713
520,0,520,2717
530,0,530,2725
540,0,540,2721
550,0,550,2718
560,0,560,2720
570,0,570,2718
580,0,580,2722
590,0,590,2721
600,0,600,2720
610,0,610,2722
620,0,620,2718
630,0,630,2718
640,0,640,2718
650,0,650,2715
660,0,660,2717
670,0,670,2721
680,0,680,2720
690,0,690,2720
700,0,700,2720
710,0,710,2718
720,0,720,2720
730,0,730,2715
740,0,740,2715
750,0,750,2718
760,0,760,2717
770,0,770,2715
780,0,780,2718
790,0,790,2717
800,0,800,2715
810,0,810,2714
820,0,820,2714
830,0,830,2720
840,0,840,2720
850,0,850,2717
860,0,860,2714
870,0,870,2715
880,0,880,2718
890,0,890,2717
900,0,900,2717
910,0,910,2715
920,0,920,2714
930,0,930,2714
940,0,940,2715
950,0,950,2715
960,0,960,2720
970,0,970,2718
980,0,980,2714
990,0,990,2718
1000,0,1000,2717
1010,0,1010,2713
1020,0,1020,2714
1030,0,1030,2711
1040,0,1040,2710
1050,0,1050,2717
1060,0,1060,2720
1070,0,1070,2720
1080,0,1080,2717
1090,0,1090,2720
1100,0,1100,2720
1110,0,1110,2717
1120,0,1120,2714
1130,0,1130,2713
1140,0,1140,2714
1150,0,1150,2717
1160,0,1160,2715
1170,0,1170,2713
1180,0,1180,2715
1190,0,1190,2717
1200,0,1200,2717
1210,0,1210,2715
1220,0,1220,2713
1230,0,1230,2713
1240,0,1240,2715
1250,0,1250,2714
1260,0,1260,2714
1270,0,1270,2714
1280,0,1280,2713
1290,0,1290,2711
1300,0,1300,2713
1310,0,1310,2714
1320,0,1320,2715
1330,0,1330,2718
1340,0,1340,2724
1350,0,1350,2720
1360,0,1360,2714
1370,0,1370,2715
1380,0,1380,2715
1390,0,1390,2717
1400,0,1400,2714
1410,0,1410,2713
1420,0,1420,2714
1430,0,1430,2711
1440,0,1440,2713
1450,0,1450,2717
1460,0,1460,2715
1470,0,1470,2714
1480,0,1480,2714
1490,0,1490,2710
1500,0,1500,2715
1510,0,1510,2717
1520,0,1520,2711
1530,0,1530,2711
1540,0,1540,2711
1550,0,1550,2710
1560,0,1560,2709
1570,0,1570,2707
1580,0,1580,2713
1590,0,1590,2715
1600,0,1600,2710
1610,0,1610,2713
1620,0,1620,2715
1630,0,1630,2711
1640,0,1640,2711
1650,0,1650,2713
1660,0,1660,2711
1670,0,1670,2713
1680,0,1680,2714
1690,0,1690,2711
1700,0,1700,2713
1710,0,1710,2713
1720,0,1720,2714
1730,0,1730,2717
1740,0,1740,2711
1750,0,1750,2710
1760,0,1760,2713
1770,0,1770,2709
1780,0,1780,2709
1790,0,1790,2710
1800,0,1800,2709
1810,0,1810,2711
1820,0,1820,2711
1830,0,1830,2715
1840,0,1840,2715
1850,0,1850,2711
1860,0,1860,2714
1870,0,1870,2711
1880,0,1880,2709
1890,0,1890,2710
1900,0,1900,2710
1910,0,1910,2713
1920,0,1920,2713
1930,0,1930,2706
1940,0,1940,2709
1950,0,1950,2713
1960,0,1960,2711
1970,0,1970,2715
1980,0,1980,2715
1990,0,1990,2710
2000,0,2000,2707
2010,0,2010,2706
2020,0,2020,2707
2030,0,2030,2711
2040,0,2040,2710
2050,0,2050,2711
2060,0,2060,2710
2070,0,2070,2711
2080,0,2080,2711
2090,0,2090,2709
