Name	YT Scope Project_1	
File	C:\MAS247 Projects\ThreeTankSystem\ThreeTankSimulation\ThreeTankStepResponse.csv	
Starttime of export	133398591433160000	fredag 22. september 2023	14:25:43.316
Endtime of export	133398593468060000	fredag 22. september 2023	14:29:06.806


Name	h3	Name	rInput
SymbolComment	 Height of liquid 1 in tank 3 [m]	SymbolComment	
Data-Type	REAL32	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	4	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448
IndexOffset	385068	IndexOffset	385100
SymbolName	MAIN.StTank.h3	SymbolName	MAIN.rInput
NetID	192.168.56.1.1.1	NetID	192.168.56.1.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	0	0	0
10	0	10	0
20	0	20	0
30	0	30	0
40	0	40	0
50	0	50	0
60	0	60	0
70	0	70	0
80	0	80	0
90	0	90	0
100	0	100	0
110	0	110	0
120	0	120	0
130	0	130	0
140	0	140	0
150	0	150	0
160	0	160	0
170	0	170	0
180	0	180	0
190	0	190	0
200	0	200	0
210	0	210	0
220	0	220	0
230	0	230	0
240	0	240	0
250	0	250	0
260	0	260	0
270	0	270	0
280	0	280	0
290	0	290	0
300	0	300	0
310	0	310	0
320	0	320	0
330	0	330	0
340	0	340	0
350	0	350	0
360	0	360	0
370	0	370	0
380	0	380	0
390	0	390	0
400	0	400	0
410	0	410	0
420	0	420	0
430	0	430	0
440	0	440	0
450	0	450	0
460	0	460	0
470	0	470	0
480	0	480	0
490	0	490	0
500	0	500	0
510	0	510	0
520	0	520	0
530	0	530	0
540	0	540	0
550	0	550	0
560	0	560	0
570	0	570	0
580	0	580	0
590	0	590	0
600	0	600	0
610	0	610	0
620	0	620	0
630	0	630	0
640	0	640	0
650	0	650	0
660	0	660	0
670	0	670	0
680	0	680	0
690	0	690	0
700	0	700	0
710	0	710	0
720	0	720	0
730	0	730	0
740	0	740	0
750	0	750	0
760	0	760	0
770	0	770	0
780	0	780	0
790	0	790	0
800	0	800	0
810	0	810	0
820	0	820	0
830	0	830	0
840	0	840	0
850	0	850	0
860	0	860	0
870	0	870	0
880	0	880	0
890	0	890	0
900	0	900	0
910	0	910	0
920	0	920	0
930	0	930	0
940	0	940	0
950	0	950	0
960	0	960	0
970	0	970	0
980	0	980	0
990	0	990	0
1000	0	1000	0
1010	0	1010	0
1020	0	1020	0
1030	0	1030	0
1040	0	1040	0
1050	0	1050	0
1060	0	1060	0
1070	0	1070	0
1080	0	1080	0
1090	0	1090	0
1100	0	1100	0
1110	0	1110	0
1120	0	1120	0
1130	0	1130	0
1140	0	1140	0
1150	0	1150	0
1160	0	1160	0
1170	0	1170	0
1180	0	1180	0
1190	0	1190	0
1200	0	1200	0
1210	0	1210	0
1220	0	1220	0
1230	0	1230	0
1240	0	1240	0
1250	0	1250	0
1260	0	1260	0
1270	0	1270	0
1280	0	1280	0
1290	0	1290	0
1300	0	1300	0
1310	0	1310	0
1320	0	1320	0
1330	0	1330	0
1340	0	1340	0
1350	0	1350	0
1360	0	1360	0
1370	0	1370	0
1380	0	1380	0
1390	0	1390	0
1400	0	1400	0
